ID,TIMESTAMP,OBJID,UTM_X,UTM_Y,UTM_ANGLE,V,ACC,ACC_LAT,ACC_TAN,CLASS,WIDTH,LENGTH,TRAILER_ID
1,0,22500,619297.13,5809130.44,0.6343853071795866,7.37,0.1555,0.146,-0.0535,Car,1.9635,4.4154,
2,0.033367,22500,619297.34,5809130.57,0.6261853071795862,7.37,0.1703,0.165,-0.0423,Car,1.9635,4.4154,
3,0.066733,22500,619297.55,5809130.71,0.6191853071795865,7.37,0.1861,0.1841,-0.0272,Car,1.9635,4.4154,
4,0.1001,22500,619297.76,5809130.84,0.6130853071795865,7.37,0.2032,0.2028,0.0114,Car,1.9635,4.4154,
5,0.133467,22500,619297.96,5809130.98,0.6078853071795862,7.37,0.2336,0.222,0.0727,Car,1.9635,4.4154,
6,0.166833,22500,619298.17,5809131.11,0.603385307179586,7.38,0.2766,0.24,0.1376,Car,1.9635,4.4154,
7,0.2002,22500,619298.38,5809131.25,0.5994853071795863,7.38,0.3287,0.2588,0.2026,Car,1.9635,4.4154,
8,0.233567,22500,619298.58,5809131.38,0.5959853071795864,7.39,0.3878,0.2769,0.2716,Car,1.9635,4.4154,
9,0.266933,22500,619298.79,5809131.51,0.5929853071795863,7.4,0.4508,0.2957,0.3403,Car,1.9635,4.4154,
10,0.3003,22500,619298.99,5809131.65,0.5902853071795864,7.41,0.5157,0.3138,0.4092,Car,1.9635,4.4154,
11,0.333667,22500,619299.2,5809131.78,0.5878853071795866,7.42,0.5148,0.3317,0.3938,Car,1.9635,4.4154,
12,0.367033,22500,619299.41,5809131.91,0.5856853071795864,7.44,0.5698,0.3499,0.4498,Car,1.9635,4.4154,
13,0.4004,22500,619299.61,5809132.05,0.583585307179586,7.45,0.6328,0.3675,0.5151,Car,1.9635,4.4154,
14,0.433767,22500,619299.82,5809132.18,0.581685307179586,7.47,0.6893,0.3854,0.5715,Car,1.9635,4.4154,
15,0.467133,22500,619300.03,5809132.31,0.5799853071795864,7.49,0.738,0.4034,0.618,Car,1.9635,4.4154,
16,0.5005,22500,619300.23,5809132.44,0.5782853071795859,7.45,0.4144,0.2832,0.3025,Car,1.9635,4.4154,
17,0.533867,22500,619300.44,5809132.57,0.5765853071795863,7.46,0.4513,0.3004,0.3367,Car,1.9635,4.4154,
18,0.567233,22500,619300.65,5809132.71,0.5749853071795865,7.47,0.4811,0.3164,0.3625,Car,1.9635,4.4154,
19,0.6006,22500,619300.86,5809132.84,0.5733853071795858,7.48,0.5117,0.3314,0.3898,Car,1.9635,4.4154,
20,0.633967,22500,619301.07,5809132.97,0.571785307179586,7.49,0.5424,0.3453,0.4182,Car,1.9635,4.4154,
21,0.667333,22500,619301.28,5809133.1,0.5701853071795862,7.51,0.5783,0.3577,0.4544,Car,1.9635,4.4154,
