ID,TIMESTAMP,OBJID,UTM_X,UTM_Y,UTM_ANGLE,V,ACC,ACC_LAT,ACC_TAN,CLASS,WIDTH,LENGTH,TRAILER_ID
1,0,23756,619289.74,5809124.99,0.7381853071795863,4.38,0.0383,-0.0382,0.0029,Car,2.0032,4.7771,
2,0.033367,23756,619289.85,5809125.09,0.7374853071795862,4.38,0.0437,-0.0436,0.002,Car,2.0032,4.7771,
3,0.066733,23756,619289.96,5809125.18,0.7368853071795867,4.38,0.0491,-0.049,0.0013,Car,2.0032,4.7771,
4,0.1001,23756,619290.07,5809125.28,0.7362853071795863,4.38,0.0546,-0.0546,-0.0006,Car,2.0032,4.7771,
5,0.133467,23756,619290.18,5809125.38,0.7357853071795866,4.38,0.0606,-0.0604,-0.0039,Car,2.0032,4.7771,
6,0.166833,23756,619290.28,5809125.48,0.735285307179586,4.38,0.0666,-0.0662,-0.0074,Car,2.0032,4.7771,
7,0.2002,23756,619290.39,5809125.57,0.734885307179586,4.38,0.0725,-0.0716,-0.011,Car,2.0032,4.7771,
8,0.233567,23756,619290.5,5809125.67,0.734485307179586,4.37,0.0794,-0.078,-0.0145,Car,2.0032,4.7771,
9,0.266933,23756,619290.61,5809125.77,0.7341853071795859,4.37,0.0862,-0.0842,-0.0186,Car,2.0032,4.7771,
10,0.3003,23756,619290.72,5809125.87,0.7339853071795863,4.37,0.0936,-0.091,-0.0219,Car,2.0032,4.7771,
11,0.333667,23756,619290.83,5809125.96,0.7337853071795859,4.37,0.0831,-0.0828,0.0064,Car,2.0032,4.7771,
12,0.367033,23756,619290.94,5809126.06,0.7335853071795864,4.37,0.0919,-0.0899,0.0192,Car,2.0032,4.7771,
13,0.4004,23756,619291.05,5809126.16,0.7334853071795866,4.37,0.0973,-0.0969,0.0079,Car,2.0032,4.7771,
14,0.433767,23756,619291.15,5809126.26,0.7334853071795866,4.37,0.1072,-0.1037,-0.0269,Car,2.0032,4.7771,
15,0.467133,23756,619291.26,5809126.36,0.7334853071795866,4.37,0.1395,-0.1107,-0.085,Car,2.0032,4.7771,
16,0.5005,23756,619291.37,5809126.45,0.7334853071795866,4.37,0.1043,-0.0776,-0.0698,Car,2.0032,4.7771,
