ID,TIMESTAMP,OBJID,UTM_X,UTM_Y,UTM_ANGLE,V,ACC,ACC_LAT,ACC_TAN,CLASS,WIDTH,LENGTH,TRAILER_ID
1,0,23096,619291.02,5809143.89,4.525885307179586,7.93,0.7895,0.7885,0.0414,Car,1.8656,4.8558,
2,0.033367,23096,619290.97,5809143.63,4.5223853071795865,7.93,0.9057,0.9028,0.0724,Car,1.8656,4.8558,
3,0.066733,23096,619290.91,5809143.37,4.519285307179587,7.94,1.0262,1.021,0.1036,Car,1.8656,4.8558,
4,0.1001,23096,619290.85,5809143.11,4.516585307179586,7.94,1.148,1.1404,0.1321,Car,1.8656,4.8558,
5,0.133467,23096,619290.8,5809142.85,4.513985307179587,7.94,1.2716,1.2617,0.1578,Car,1.8656,4.8558,
6,0.166833,23096,619290.74,5809142.59,4.511585307179586,7.95,1.3962,1.3841,0.1834,Car,1.8656,4.8558,
7,0.2002,23096,619290.68,5809142.33,4.509185307179586,7.96,1.5234,1.5091,0.2087,Car,1.8656,4.8558,
8,0.233567,23096,619290.62,5809142.07,4.5067853071795865,7.96,1.652,1.6354,0.2337,Car,1.8656,4.8558,
9,0.266933,23096,619290.57,5809141.81,4.504385307179586,7.98,1.8251,1.7696,0.4468,Car,1.8656,4.8558,
10,0.3003,23096,619290.51,5809141.56,4.501885307179586,7.99,1.9425,1.8994,0.4067,Car,1.8656,4.8558,
11,0.333667,23096,619290.45,5809141.3,4.499085307179586,8,2.0406,2.0242,0.2575,Car,1.8656,4.8558,
12,0.367033,23096,619290.39,5809141.05,4.496185307179586,8.01,2.1633,2.1517,0.2233,Car,1.8656,4.8558,
13,0.4004,23096,619290.32,5809140.79,4.492885307179586,8.02,2.2867,2.2796,0.1807,Car,1.8656,4.8558,
14,0.433767,23096,619290.26,5809140.53,4.489285307179586,8.02,2.41,2.4063,0.1333,Car,1.8656,4.8558,
15,0.467133,23096,619290.19,5809140.28,4.485385307179586,8.02,2.5339,2.5326,0.0801,Car,1.8656,4.8558,
16,0.5005,23096,619290.13,5809140.02,4.481085307179586,7.98,1.7235,1.7234,0.0203,Car,1.8656,4.8558,
17,0.533867,23096,619290.06,5809139.76,4.4762853071795865,7.98,1.8373,1.8373,0.0112,Car,1.8656,4.8558,
18,0.567233,23096,619289.99,5809139.51,4.471185307179586,7.98,1.9474,1.9474,0.0025,Car,1.8656,4.8558,
19,0.6006,23096,619289.91,5809139.25,4.465585307179586,7.98,2.0524,2.0524,-0.0069,Car,1.8656,4.8558,
20,0.633967,23096,619289.83,5809138.99,4.459585307179586,7.98,2.1525,2.1524,-0.0173,Car,1.8656,4.8558,
21,0.667333,23096,619289.76,5809138.74,4.453085307179586,7.98,2.2475,2.2473,-0.0311,Car,1.8656,4.8558,
