TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
315969633.5,00000000-0000-0000-0000-000000000000,AV,250.170155,3985.183881,MIA
315969633.5,00000000-0000-0000-0000-000000036428,OTHERS,275.8446367,3984.482171,MIA
315969633.5,00000000-0000-0000-0000-000000035419,OTHERS,243.1276851,3985.113706,MIA
315969633.5,00000000-0000-0000-0000-000000035370,OTHERS,253.6439844,3982.27951,MIA
315969633.5,00000000-0000-0000-0000-000000035430,OTHERS,270.0881759,3982.763531,MIA
315969633.5,00000000-0000-0000-0000-000000035603,OTHERS,269.0735769,3986.127464,MIA
315969633.5,00000000-0000-0000-0000-000000035752,OTHERS,245.7824774,3981.924451,MIA
315969633.5,00000000-0000-0000-0000-000000035759,OTHERS,263.1956085,3986.655812,MIA
315969633.5,00000000-0000-0000-0000-000000035761,OTHERS,252.1874991,3978.680982,MIA
315969633.5,00000000-0000-0000-0000-000000036469,OTHERS,244.2902612,3995.411156,MIA
315969633.5,00000000-0000-0000-0000-000000036418,OTHERS,285.8670827,3993.401906,MIA
315969633.5,00000000-0000-0000-0000-000000036336,OTHERS,235.3162059,3986.090568,MIA
315969633.5,00000000-0000-0000-0000-000000036444,OTHERS,224.3369231,3981.650706,MIA
315969633.5,00000000-0000-0000-0000-000000036455,OTHERS,233.8605933,3995.256879,MIA
315969633.5,00000000-0000-0000-0000-000000036479,OTHERS,211.9598144,3977.278455,MIA
315969633.5,00000000-0000-0000-0000-000000035729,OTHERS,260.9614413,3979.774883,MIA
315969633.5,00000000-0000-0000-0000-000000036477,OTHERS,315.3367232,3969.197148,MIA
315969633.5,00000000-0000-0000-0000-000000036372,OTHERS,305.7232863,3956.019197,MIA
315969633.5,00000000-0000-0000-0000-000000036403,OTHERS,266.1457632,3975.112277,MIA
315969633.5,00000000-0000-0000-0000-000000036474,OTHERS,243.2678168,3995.010199,MIA
315969633.5,00000000-0000-0000-0000-000000035513,OTHERS,277.7964264,3983.34466,MIA
315969633.5,00000000-0000-0000-0000-000000036489,OTHERS,235.7335188,3994.754396,MIA
315969633.5,00000000-0000-0000-0000-000000036279,OTHERS,239.6668621,3978.319117,MIA
315969633.5,00000000-0000-0000-0000-000000036092,OTHERS,284.8865671,3980.174242,MIA
315969633.5,00000000-0000-0000-0000-000000036414,OTHERS,222.7000404,3981.052273,MIA
315969633.5,00000000-0000-0000-0000-000000036399,OTHERS,248.5532955,3974.777681,MIA
315969633.5,00000000-0000-0000-0000-000000035526,OTHERS,307.0652055,3985.282826,MIA
315969633.5,00000000-0000-0000-0000-000000036391,OTHERS,299.8619123,3985.710082,MIA
315969633.5,00000000-0000-0000-0000-000000035774,OTHERS,261.0896499,4007.820605,MIA
315969633.5,00000000-0000-0000-0000-000000036364,OTHERS,228.4180574,3978.317075,MIA
315969633.5,00000000-0000-0000-0000-000000036466,OTHERS,241.7532223,3996.029518,MIA
315969633.5,00000000-0000-0000-0000-000000036359,OTHERS,264.5736193,3991.213152,MIA
315969633.5,00000000-0000-0000-0000-000000036348,OTHERS,253.0474951,3995.541218,MIA
315969633.5,00000000-0000-0000-0000-000000036263,OTHERS,260.6327137,3996.683962,MIA
315969633.5,00000000-0000-0000-0000-000000036436,AGENT,301.9731728,3991.488234,MIA
315969633.5,00000000-0000-0000-0000-000000036162,OTHERS,236.6297825,3982.242414,MIA
315969633.5,00000000-0000-0000-0000-000000035776,OTHERS,273.6368597,3980.181189,MIA
315969633.6,00000000-0000-0000-0000-000000000000,AV,250.1973122,3985.185107,MIA
315969633.6,00000000-0000-0000-0000-000000035419,OTHERS,243.1204895,3985.104629,MIA
315969633.6,00000000-0000-0000-0000-000000035370,OTHERS,253.71039,3982.286118,MIA
315969633.6,00000000-0000-0000-0000-000000035430,OTHERS,270.2384033,3982.794225,MIA
315969633.6,00000000-0000-0000-0000-000000036428,OTHERS,275.861539,3984.487367,MIA
315969633.6,00000000-0000-0000-0000-000000035526,OTHERS,307.0777336,3985.133706,MIA
315969633.6,00000000-0000-0000-0000-000000035603,OTHERS,269.1521108,3986.119086,MIA
315969633.6,00000000-0000-0000-0000-000000035752,OTHERS,245.7659552,3981.902934,MIA
315969633.6,00000000-0000-0000-0000-000000035759,OTHERS,263.2907328,3986.611393,MIA
315969633.6,00000000-0000-0000-0000-000000035761,OTHERS,252.3772386,3978.651591,MIA
315969633.6,00000000-0000-0000-0000-000000036455,OTHERS,233.460141,3995.591672,MIA
315969633.6,00000000-0000-0000-0000-000000036479,OTHERS,212.1375718,3977.169119,MIA
315969633.6,00000000-0000-0000-0000-000000035513,OTHERS,278.0072676,3983.34348,MIA
315969633.6,00000000-0000-0000-0000-000000036489,OTHERS,235.6469635,3994.773446,MIA
315969633.6,00000000-0000-0000-0000-000000036477,OTHERS,315.4036778,3969.464158,MIA
